"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.222541418E-3,8.045619049E0,2.770438843E0,-6.352789307E0,1.061909833E1
1.323954156E-2,7.911797333E0,3.057541809E0,-6.087241516E0,1.044028775E1
2.325554146E-2,7.731123047E0,3.390748901E0,-5.858367462E0,1.027559784E1
3.327254159E-2,7.668852539E0,3.545227661E0,-5.371579742E0,1.001168354E1
4.328954173E-2,7.630981293E0,3.605103149E0,-4.599036255E0,9.611439990E0
5.330654141E-2,7.604935455E0,3.873644714E0,-4.789589996E0,9.786743022E0
6.332354154E-2,7.279512177E0,4.180207214E0,-4.493505707E0,9.521398186E0
7.334054168E-2,6.836882629E0,4.501588898E0,-4.588857422E0,9.384288952E0
8.335754136E-2,6.966363373E0,4.560865631E0,-4.272116089E0,9.358562380E0
9.337454149E-2,7.633975067E0,4.604425049E0,-3.485352173E0,9.572146318E0
1.033915416E-1,7.673193512E0,4.846172333E0,-3.435056763E0,9.703757000E0
1.134085418E-1,6.722969513E0,4.942422180E0,-3.448079681E0,9.028571845E0
1.234255414E-1,6.055058441E0,4.913532257E0,-3.589535522E0,8.584363531E0
1.334425416E-1,6.412215729E0,5.024750977E0,-4.082310791E0,9.112074096E0
1.434595417E-1,7.054829407E0,5.184169464E0,-4.868625641E0,1.001747207E1
1.534765414E-1,7.287295990E0,5.345982971E0,-5.959557037E0,1.082591968E1
1.634935415E-1,6.825356598E0,5.467530212E0,-6.370751953E0,1.081969777E1
1.735105417E-1,6.022575989E0,5.536686401E0,-6.238277435E0,1.028797469E1
1.835275418E-1,5.415288849E0,5.538183289E0,-6.333479462E0,1.000548797E1
1.935445415E-1,4.982538757E0,5.216502228E0,-5.968837738E0,9.362938209E0
2.035615416E-1,4.707410889E0,4.674629059E0,-5.309907990E0,8.497470033E0
2.135785418E-1,4.881199493E0,4.356690216E0,-5.051994324E0,8.266166269E0
2.235955414E-1,5.716312866E0,4.382885742E0,-5.674549713E0,9.169865575E0
2.336115418E-1,6.359525299E0,4.576433258E0,-6.356830902E0,1.008943024E1
2.436285415E-1,6.048472137E0,4.838089142E0,-6.812333679E0,1.031498967E1
2.536455416E-1,5.316494293E0,5.011578369E0,-7.017107849E0,1.013019407E1
2.636625418E-1,4.867877197E0,5.181924133E0,-7.547155609E0,1.036861244E1
2.736795414E-1,4.786745911E0,5.092859344E0,-7.940387878E0,1.057827549E1
2.836965416E-1,4.880151672E0,4.716541901E0,-7.904462585E0,1.041835767E1
2.937135417E-1,5.035378876E0,4.244723053E0,-7.718249817E0,1.014613692E1
3.037305414E-1,4.644990692E0,3.692221985E0,-7.047794037E0,9.213025697E0
3.137475415E-1,3.977828064E0,3.233126678E0,-6.348298645E0,8.159480370E0
3.237645417E-1,4.027824097E0,3.033591614E0,-6.499484253E0,8.226137647E0
3.337815418E-1,4.557273102E0,2.906356201E0,-7.207811279E0,9.009338929E0
3.437985415E-1,4.983736267E0,2.964585114E0,-8.044421539E0,9.916607786E0
3.538155416E-1,5.374423828E0,3.232228546E0,-8.687633972E0,1.071478963E1
3.638325417E-1,5.586682434E0,3.484903107E0,-8.919950867E0,1.108697857E1
3.738495414E-1,5.401667175E0,3.529809723E0,-8.649463348E0,1.079123631E1
3.838665416E-1,5.053042145E0,3.388503571E0,-8.083190918E0,1.011697419E1
3.938835417E-1,4.929548950E0,3.265459442E0,-7.767048340E0,9.761696478E0
4.039005414E-1,4.711003418E0,3.199746094E0,-7.460785217E0,9.385906686E0
4.139175415E-1,4.497547302E0,3.243305511E0,-7.184759216E0,9.075666773E0
4.239345416E-1,4.436324615E0,3.430715790E0,-6.893464966E0,8.886542981E0
4.339515418E-1,4.360582123E0,3.698658600E0,-6.765481110E0,8.858131097E0
4.439685415E-1,4.283193054E0,3.890409851E0,-6.861431580E0,8.975537581E0
4.539855416E-1,4.218078461E0,4.099075928E0,-7.072492676E0,9.198628268E0
4.640015415E-1,4.366569672E0,4.292922821E0,-7.780220947E0,9.900906778E0
4.740185416E-1,4.651127930E0,4.201612701E0,-7.707472229E0,9.934368046E0
4.840355418E-1,4.679718475E0,3.947740631E0,-7.335346069E0,9.554670222E0
4.940525414E-1,4.737348633E0,3.689078522E0,-6.813980255E0,9.081965609E0
5.040695416E-1,4.719685364E0,3.521876221E0,-6.517746277E0,8.784079837E0
5.140865417E-1,4.493056641E0,3.493734741E0,-6.632258148E0,8.739598879E0
5.241035414E-1,4.280798035E0,3.526217194E0,-6.916816406E0,8.865764982E0
5.341205415E-1,4.408332825E0,3.720363464E0,-7.613018646E0,9.551573457E0
5.441375417E-1,4.718038788E0,3.895648956E0,-8.183931427E0,1.021825349E1
5.541545418E-1,4.898264008E0,3.967499542E0,-8.626111908E0,1.068381250E1
5.641708332E-1,4.852309570E0,3.946393433E0,-8.704548798E0,1.071858662E1
5.741878334E-1,4.725672913E0,3.915407867E0,-8.544830933E0,1.052029177E1
5.842048330E-1,4.883893890E0,3.894900513E0,-8.239765320E0,1.034003878E1
5.942218332E-1,5.088368683E0,3.912713470E0,-7.976013794E0,1.023804760E1
6.042388333E-1,4.908742218E0,3.951931915E0,-7.440427551E0,9.750562967E0
6.142558334E-1,4.658312988E0,4.093687134E0,-7.226372681E0,9.522532035E0
6.242728331E-1,4.453239441E0,4.187991028E0,-7.058122559E0,9.337435645E0
6.342898333E-1,4.140090637E0,4.136348419E0,-7.216193848E0,9.291026982E0
6.443068334E-1,4.387825470E0,3.908821564E0,-7.370672607E0,9.426489965E0
6.543238331E-1,4.962779846E0,3.809577942E0,-7.604336700E0,9.847233345E0
6.643408332E-1,5.069807281E0,3.826642456E0,-7.892487488E0,1.013101659E1
6.743578333E-1,4.848417664E0,4.034709778E0,-8.009244690E0,1.019480443E1
6.843748335E-1,5.106331329E0,4.262985077E0,-8.167615356E0,1.053364144E1
6.943918332E-1,5.421426086E0,4.225113831E0,-7.599846039E0,1.024700481E1
7.044078331E-1,5.359454956E0,4.009711761E0,-7.052584076E0,9.723193302E0
7.144248332E-1,5.143005066E0,3.837719421E0,-6.795867920E0,9.346786199E0
7.244418333E-1,4.921615448E0,3.827540588E0,-7.033423920E0,9.399011523E0
7.344588335E-1,4.945565643E0,3.888912964E0,-7.263645172E0,9.609516364E0
7.444758331E-1,5.017416229E0,3.908222809E0,-7.363936615E0,9.730171304E0
7.544928333E-1,5.011728058E0,3.986659698E0,-7.488777008E0,9.853560512E0
7.645098334E-1,4.952301636E0,4.185296631E0,-7.927364960E0,1.024134340E1
7.745268331E-1,4.858297119E0,4.313130798E0,-7.848479004E0,1.018846263E1
7.845438332E-1,4.931794281E0,4.382436676E0,-7.933951263E0,1.031871740E1
7.945608334E-1,5.070406036E0,4.236490173E0,-7.546556854E0,1.003032336E1
8.045778330E-1,5.139562225E0,4.067790985E0,-7.615413666E0,1.004771360E1
8.145948332E-1,5.121150513E0,3.998036041E0,-7.764503632E0,1.012412917E1
8.246118333E-1,4.884043579E0,3.997437286E0,-7.599546661E0,9.878587753E0
8.346288335E-1,4.537364502E0,4.099075928E0,-7.289092255E0,9.514250679E0
8.446458331E-1,4.256997528E0,4.266128540E0,-7.535479889E0,9.649110727E0
8.546628333E-1,4.096082153E0,4.283193054E0,-8.109386444E0,1.004419137E1
8.646798334E-1,4.061653748E0,4.118685150E0,-8.265661469E0,1.008869457E1
8.746968331E-1,4.174219666E0,3.981719971E0,-8.553063812E0,1.031664210E1
8.847138332E-1,4.113595734E0,3.850742340E0,-8.220455475E0,9.966231717E0
8.947308334E-1,3.723806305E0,3.834276581E0,-7.702233124E0,9.375116287E0
9.047478330E-1,3.419339447E0,3.911515961E0,-7.367229767E0,9.014871813E0
9.147648332E-1,3.479813690E0,3.963757324E0,-7.516918488E0,9.182839375E0
9.247818333E-1,3.897594910E0,3.985611877E0,-8.289162598E0,9.989322534E0
9.347978332E-1,4.700674896E0,4.007167053E0,-9.295968933E0,1.116103806E1
9.448148333E-1,4.896018677E0,3.899989929E0,-9.143585815E0,1.108088814E1
9.548318335E-1,4.741689606E0,3.851490784E0,-8.588090973E0,1.053911325E1
9.648488332E-1,4.968318329E0,3.888463898E0,-8.186176758E0,1.033527109E1
9.748658333E-1,4.931494904E0,3.889661407E0,-7.724087677E0,9.955432602E0
9.848828334E-1,4.507875824E0,3.976031799E0,-7.414381714E0,9.544780223E0
9.948998331E-1,4.200714569E0,4.071832581E0,-7.307204590E0,9.360612286E0
1.004916833E0,4.009562073E0,4.072730713E0,-7.188052368E0,9.183235831E0
1.014933833E0,3.694766693E0,3.980672150E0,-7.015311584E0,8.871958538E0
1.024950833E0,3.394940186E0,4.010011139E0,-7.121590576E0,8.850020369E0
1.034967833E0,3.163820801E0,4.062102814E0,-7.216343536E0,8.864877628E0
1.044984833E0,2.815794525E0,4.167932739E0,-7.088060303E0,8.691430319E0
1.055001833E0,2.759960632E0,4.453987885E0,-7.787705383E0,9.386359566E0
1.065018833E0,3.094365234E0,4.561464386E0,-8.181237030E0,9.864820976E0
1.075035833E0,3.469335480E0,4.386029205E0,-8.206833801E0,9.931045358E0
1.085052833E0,3.865711212E0,4.157753906E0,-8.434959412E0,1.016755531E1
1.095069833E0,4.316723328E0,3.958368530E0,-8.374784546E0,1.021957914E1
1.105086833E0,4.645140381E0,3.830534363E0,-7.902067566E0,9.934434784E0
1.115103833E0,4.760400696E0,3.824097748E0,-7.155120850E0,9.406428267E0
1.125120833E0,4.675527191E0,3.963907013E0,-6.456523590E0,8.902797886E0
1.135137833E0,4.491410065E0,4.208797760E0,-6.572382660E0,9.004607531E0
1.145154833E0,4.483177185E0,4.421954498E0,-7.106022949E0,9.494636455E0
1.155171833E0,4.697381744E0,4.444856873E0,-7.220684509E0,9.693318970E0
1.165188833E0,5.008584595E0,4.406536560E0,-7.278314667E0,9.873061758E0
1.175204833E0,5.518574066E0,4.363875275E0,-7.417974243E0,1.022371796E1
1.185221833E0,5.918392639E0,4.255650330E0,-7.355853424E0,1.035598912E1
1.195238833E0,5.720504150E0,4.200864258E0,-7.369475098E0,1.023135335E1
1.205255833E0,5.215903473E0,4.243974609E0,-7.456444244E0,1.004069372E1
1.215272833E0,4.935536499E0,4.299359436E0,-7.387288055E0,9.869956277E0
1.225289833E0,4.950505371E0,4.378694458E0,-7.643106079E0,1.010433269E1
1.235306833E0,4.880900116E0,4.408332825E0,-7.881560211E0,1.026526062E1
1.245323833E0,4.466711426E0,4.402195587E0,-7.944728851E0,1.012173668E1
1.255340833E0,4.043242035E0,4.403093719E0,-8.108638000E0,1.007397889E1
1.265357833E0,3.944746857E0,4.430786133E0,-8.177794189E0,1.010293083E1
1.275374833E0,4.166286163E0,4.519252167E0,-8.090675354E0,1.016073857E1
1.285391833E0,4.520449677E0,4.575385437E0,-8.070916443E0,1.032028630E1
1.295408833E0,4.740641785E0,4.444557495E0,-7.664212189E0,1.004827967E1
