"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.143749200E-4,6.824608154E0,6.088289337E0,-3.774700470E0,9.893983381E0
1.033137506E-2,6.888974304E0,6.168223114E0,-3.619173889E0,9.929922607E0
2.034837520E-2,6.829098816E0,6.203399963E0,-3.521726532E0,9.875288325E0
3.036537487E-2,6.805597687E0,6.243366852E0,-3.565435638E0,9.899905091E0
4.038237501E-2,6.833290100E0,6.256689148E0,-3.701203308E0,9.976919295E0
5.039837491E-2,6.877298584E0,6.245312805E0,-3.809727631E0,1.004067689E1
6.041537505E-2,6.758445740E0,6.203998718E0,-3.707939301E0,9.895200997E0
7.043237519E-2,6.586902466E0,6.086343384E0,-3.693419495E0,9.699082815E0
8.044937486E-2,6.244564362E0,5.962550812E0,-3.745960236E0,9.411631864E0
9.046637500E-2,5.917195129E0,5.872438202E0,-3.738475800E0,9.136461566E0
1.004833751E-1,5.744304657E0,5.899831238E0,-3.813619537E0,9.074620576E0
1.104993750E-1,5.549110565E0,5.932762756E0,-3.779789886E0,8.959749638E0
1.205163752E-1,5.541925507E0,5.856571198E0,-3.598666534E0,8.829652617E0
1.305333748E-1,6.006708984E0,5.851781158E0,-3.940555573E0,9.265628622E0
1.405503750E-1,6.488407288E0,5.849685516E0,-4.262236633E0,9.720334916E0
1.505673751E-1,6.793622589E0,5.830974426E0,-4.269870758E0,9.918939809E0
1.605843753E-1,6.841822357E0,5.783223724E0,-3.809577942E0,9.734941906E0
1.706013749E-1,6.482419739E0,5.789510651E0,-3.434008942E0,9.345192168E0
1.806173748E-1,6.006708984E0,5.731431427E0,-3.837270355E0,9.146283552E0
1.906343750E-1,5.788762207E0,5.618416443E0,-4.409680023E0,9.193565637E0
2.006513751E-1,5.939498749E0,5.625601501E0,-4.626728668E0,9.398492209E0
2.106683752E-1,6.272406464E0,5.741460571E0,-4.289779358E0,9.524161867E0
2.206853749E-1,6.640041962E0,6.017636261E0,-4.421355743E0,9.992521705E0
2.307023751E-1,7.190896454E0,6.228248291E0,-5.203030243E0,1.084304350E1
2.407183750E-1,7.400161285E0,6.187383270E0,-5.186265106E0,1.095186945E1
