"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.441958386E-3,2.619253235E0,4.977599030E0,-5.971232758E0,8.203206705E0
1.445795828E-2,2.687511292E0,4.782854004E0,-6.809938660E0,8.744922751E0
2.447495842E-2,3.128643951E0,4.753515015E0,-7.404053192E0,9.338325420E0
3.449095832E-2,3.592978363E0,4.870870972E0,-8.318202209E0,1.028724285E1
4.450795846E-2,3.839365997E0,4.976551208E0,-8.347092133E0,1.044895881E1
5.452395836E-2,3.920646973E0,4.999752960E0,-7.426955566E0,9.773876986E0
6.454095850E-2,3.971092072E0,5.163063354E0,-7.167395325E0,9.684954888E0
7.455695840E-2,4.036506042E0,5.268444214E0,-6.839127960E0,9.530139386E0
8.457320835E-2,3.973487091E0,5.196593628E0,-6.214626617E0,9.023013299E0
9.459020849E-2,3.592080231E0,5.079836426E0,-6.467450867E0,8.974168441E0
1.046062084E-1,3.298241272E0,4.934788055E0,-7.104226685E0,9.257459988E0
1.146232085E-1,3.934118958E0,5.008135529E0,-7.512727203E0,9.848846809E0
1.246392084E-1,5.170697479E0,5.250780945E0,-7.394772491E0,1.043980235E1
1.346562086E-1,6.056555328E0,5.284760284E0,-6.893315277E0,1.058906744E1
1.446722085E-1,6.168821869E0,5.032684479E0,-6.206543427E0,1.009472425E1
1.546892081E-1,5.826034698E0,4.795278168E0,-5.956114197E0,9.613150854E0
1.647062083E-1,5.459147644E0,4.838538208E0,-6.527625732E0,9.788955138E0
1.747222082E-1,5.545068970E0,5.118306427E0,-6.636000366E0,1.004894778E1
1.847392083E-1,6.002368011E0,5.566773834E0,-6.244115295E0,1.029593942E1
1.947552082E-1,6.206842804E0,5.884712677E0,-6.251599731E0,1.059420786E1
2.047722084E-1,5.834716644E0,5.915847931E0,-6.580465851E0,1.059923138E1
2.147882082E-1,5.241350555E0,5.529501343E0,-5.862558746E0,9.613362357E0
2.248052084E-1,5.223687286E0,5.007686462E0,-4.425547028E0,8.482293267E0
2.348212083E-1,5.843099213E0,4.837640076E0,-4.498445435E0,8.819329977E0
2.448382084E-1,6.206244049E0,4.844226379E0,-5.397625580E0,9.545593555E0
2.548552086E-1,6.106850739E0,4.827461243E0,-4.811145172E0,9.151236302E0
2.648712085E-1,6.058501282E0,4.891528015E0,-4.268673248E0,8.879980597E0
2.748882081E-1,6.234834595E0,5.053640900E0,-4.745731201E0,9.323862579E0
2.849042085E-1,6.311924286E0,5.107678528E0,-5.023254089E0,9.547871479E0
2.949212082E-1,6.120023346E0,4.939428406E0,-4.709057465E0,9.166671203E0
3.049372085E-1,5.876180420E0,4.709506531E0,-4.771627350E0,8.915008450E0
3.149542082E-1,5.763015747E0,4.597389679E0,-5.279371490E0,9.067530297E0
3.249702086E-1,5.582640839E0,4.572541351E0,-5.574258270E0,9.118463051E0
3.349872082E-1,5.426365814E0,4.564907227E0,-5.568270721E0,9.016066923E0
3.450042084E-1,5.466931458E0,4.680017853E0,-5.631738739E0,9.138182964E0
3.550202083E-1,5.658533020E0,4.932393036E0,-6.094426575E0,9.668998515E0
3.650372084E-1,5.975723419E0,5.132526855E0,-6.240971832E0,1.004996675E1
3.750532083E-1,6.131549377E0,5.197342072E0,-5.770799561E0,9.894967910E0
3.850702085E-1,6.067332916E0,5.158872070E0,-5.379064178E0,9.610453745E0
3.950862084E-1,5.743855591E0,5.098098450E0,-5.823789368E0,9.638413119E0
4.051032085E-1,5.272785187E0,5.014871521E0,-6.081703033E0,9.483581169E0
4.151192084E-1,4.933141479E0,4.925657043E0,-5.972879333E0,9.180047369E0
4.251362085E-1,4.908742218E0,4.929998016E0,-6.022426300E0,9.201643828E0
4.351532082E-1,5.023553467E0,5.049299927E0,-6.239474945E0,9.469031987E0
4.451692086E-1,5.124293976E0,5.268144836E0,-6.715784454E0,9.955576307E0
4.551862082E-1,5.173541565E0,5.534291382E0,-7.104526062E0,1.038596187E1
4.652022081E-1,5.396128693E0,5.761818237E0,-6.701564026E0,1.035508159E1
4.752192083E-1,5.392236786E0,5.795797577E0,-6.230194244E0,1.007386755E1
4.852352082E-1,4.885989532E0,5.560337219E0,-5.978866882E0,9.515098155E0
4.952522083E-1,4.266876984E0,5.240602112E0,-5.997727661E0,9.035645344E0
5.052682082E-1,4.065096588E0,5.082081757E0,-6.546187134E0,9.230662557E0
5.152852084E-1,4.232298889E0,4.991520081E0,-6.849755859E0,9.473477816E0
