"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.029998280E-4,6.312073975E0,5.491330719E0,-4.322112122E0,9.416880806E0
1.081899973E-2,6.236481171E0,5.562732239E0,-4.246070251E0,9.373729244E0
2.083599987E-2,5.711073761E0,5.516478424E0,-4.405638428E0,9.080613837E0
3.085300000E-2,5.357359314E0,5.497467957E0,-4.736450500E0,9.019834594E0
4.086999968E-2,5.543871460E0,5.521118774E0,-5.473966827E0,9.548904446E0
5.088599958E-2,5.969137115E0,5.567372589E0,-6.137836304E0,1.021270140E1
6.090299971E-2,6.564898224E0,5.537734222E0,-6.062542877E0,1.051279293E1
7.091999985E-2,7.082222443E0,5.372328186E0,-5.981710968E0,1.071450657E1
8.093699999E-2,7.248975677E0,4.963378601E0,-5.289400635E0,1.025478106E1
9.095299989E-2,7.231911163E0,4.519551544E0,-4.223317566E0,9.516475004E0
1.009699996E-1,6.702162781E0,4.329746246E0,-4.178860016E0,9.007139364E0
1.109869997E-1,6.248905334E0,4.386029205E0,-4.897216187E0,9.070214796E0
1.210039998E-1,6.437363434E0,4.703668671E0,-5.509293365E0,9.691050528E0
1.310199997E-1,6.876550140E0,5.174589386E0,-5.992189178E0,1.048664142E1
1.410369999E-1,7.290589142E0,5.598208466E0,-6.603218536E0,1.131791160E1
1.510540000E-1,7.463928680E0,5.844446411E0,-6.858437805E0,1.170068179E1
1.610709997E-1,7.770940247E0,5.763315125E0,-6.397995300E0,1.159903692E1
1.710869996E-1,7.903115387E0,5.557792511E0,-5.629194031E0,1.118195492E1
1.811039997E-1,7.632927246E0,5.417384491E0,-5.199886780E0,1.070740191E1
1.911209999E-1,6.984026642E0,5.172194366E0,-4.736001434E0,9.897369968E0
2.011380000E-1,6.130501556E0,4.978646851E0,-4.692142639E0,9.186194878E0
2.111539999E-1,5.662873993E0,4.936584320E0,-5.091362457E0,9.075239847E0
2.211709996E-1,5.855074310E0,5.070406036E0,-5.804629211E0,9.679082231E0
2.311879997E-1,6.260281677E0,5.321284332E0,-6.124064941E0,1.024750531E1
2.412049999E-1,6.368207245E0,5.536237335E0,-6.106850739E0,1.041621876E1
2.512209998E-1,6.026617584E0,5.549260254E0,-6.137087860E0,1.023612506E1
2.612379999E-1,5.537883911E0,5.346731415E0,-5.514532471E0,9.469200780E0
2.712549996E-1,5.349874878E0,5.106780396E0,-4.684209137E0,8.754552099E0
2.812719997E-1,5.517226868E0,4.916076965E0,-4.698728943E0,8.757034813E0
2.912879996E-1,6.083050232E0,4.858746185E0,-5.039121094E0,9.273815613E0
3.013049997E-1,6.574178925E0,4.937482452E0,-5.325924683E0,9.796123479E0
3.113219999E-1,6.707252197E0,5.053940277E0,-5.404960327E0,9.987148767E0
3.213390000E-1,6.604565735E0,5.199886780E0,-5.389991455E0,9.985545501E0
3.313549999E-1,6.658453674E0,5.324278107E0,-5.572162628E0,1.018488778E1
3.413719996E-1,6.994504852E0,5.218897247E0,-4.925058289E0,1.002078768E1
3.513889997E-1,7.055877228E0,4.977748718E0,-4.170327759E0,9.589317983E0
3.614059999E-1,6.808292084E0,4.732408905E0,-4.085903320E0,9.243545915E0
3.714219998E-1,6.515800323E0,4.640649719E0,-4.625082092E0,9.240274240E0
3.814389999E-1,6.630312195E0,4.788691864E0,-5.001998291E0,9.587105740E0
3.914559996E-1,6.854845276E0,5.038222961E0,-5.031337280E0,9.883670836E0
4.014719999E-1,6.832092590E0,5.234614563E0,-5.289550323E0,1.010237702E1
4.114889996E-1,6.700965271E0,5.287754059E0,-5.322631531E0,1.005950719E1
4.215059998E-1,6.752458191E0,5.384602661E0,-5.329517212E0,1.014856597E1
4.315229999E-1,6.755751343E0,5.574407959E0,-5.226830750E0,1.019970392E1
4.415389998E-1,6.599326630E0,5.785768433E0,-5.350473633E0,1.027880326E1
4.515559999E-1,6.495592346E0,5.804329834E0,-5.460644531E0,1.028112851E1
4.615729996E-1,6.664890289E0,5.529651031E0,-5.119653625E0,1.006025131E1
4.715899997E-1,6.826554108E0,5.181774445E0,-4.816833344E0,9.831302601E0
4.816059996E-1,6.660399628E0,4.863087158E0,-4.861590271E0,9.573170837E0
4.916229998E-1,6.390660553E0,4.733905792E0,-5.002147980E0,9.395312170E0
5.016399999E-1,6.362070007E0,4.868475952E0,-5.415139160E0,9.669629000E0
5.116569996E-1,6.559958496E0,5.300926666E0,-5.771098938E0,1.021951378E1
5.216739997E-1,6.662794647E0,5.639672241E0,-5.687872009E0,1.041876305E1
5.316899996E-1,6.281387787E0,5.551954651E0,-5.214107208E0,9.872534981E0
5.417069998E-1,5.663921814E0,5.240901489E0,-4.592749329E0,8.980000286E0
5.517239999E-1,5.351970520E0,4.938230896E0,-4.540058899E0,8.581482834E0
5.617399998E-1,5.616021423E0,4.777016144E0,-4.863835602E0,8.832693622E0
5.717569999E-1,6.238277435E0,4.735252991E0,-5.051694946E0,9.319782620E0
5.817739996E-1,6.478827209E0,4.615502014E0,-5.044659576E0,9.419482528E0
5.917909998E-1,6.229146423E0,4.472399597E0,-5.057682495E0,9.186118633E0
6.018069996E-1,5.909561005E0,4.590354309E0,-6.019582214E0,9.603626085E0
6.118239998E-1,6.022575989E0,4.924609222E0,-7.026987305E0,1.048340346E1
6.218406665E-1,6.248156891E0,5.199288025E0,-6.441704407E0,1.037148090E1
6.318576667E-1,6.231840820E0,5.361700287E0,-5.434149628E0,9.854625927E0
6.418736666E-1,6.406078491E0,5.477110291E0,-4.893623657E0,9.745980262E0
6.518906667E-1,6.714437256E0,5.435197449E0,-4.400998077E0,9.695041158E0
6.619076664E-1,6.700665894E0,5.139113159E0,-4.466711426E0,9.553058068E0
6.719246665E-1,6.501430206E0,4.745132446E0,-4.068539429E0,9.018752117E0
6.819406664E-1,6.381230164E0,4.486470337E0,-3.556005249E0,8.572845958E0
6.919576665E-1,6.278244324E0,4.435725861E0,-4.158053284E0,8.739646607E0
7.019746667E-1,6.114784241E0,4.515659637E0,-4.482728119E0,8.824773066E0
7.119916664E-1,5.639821930E0,4.955295410E0,-5.539380798E0,9.329913378E0
7.220076662E-1,5.668861542E0,5.417384491E0,-6.181994476E0,9.985043896E0
7.320246664E-1,5.994883575E0,5.776338043E0,-6.474336548E0,1.054617201E1
7.420416665E-1,6.495592346E0,6.079008636E0,-7.528594208E0,1.165447539E1
7.520586667E-1,7.009174347E0,6.203849030E0,-8.030799866E0,1.233328887E1
7.620746666E-1,7.222031708E0,6.028862915E0,-7.331753540E0,1.192726037E1
7.720916662E-1,7.307204590E0,5.400469666E0,-6.265520782E0,1.103707671E1
7.821086664E-1,6.821015625E0,4.713548126E0,-5.586083679E0,9.997405712E0
7.921256665E-1,6.044280853E0,4.192481689E0,-5.096451874E0,8.948969519E0
8.021416664E-1,5.354814606E0,3.935466156E0,-4.674778748E0,8.124991672E0
8.121586666E-1,5.063370667E0,3.941753082E0,-4.884492645E0,8.064329375E0
8.221756667E-1,5.277575226E0,4.207600250E0,-5.885311432E0,8.955087424E0
8.321926664E-1,5.883215790E0,4.631668396E0,-6.563700714E0,9.957245966E0
8.422086663E-1,6.276298370E0,5.061125336E0,-6.589746552E0,1.041305289E1
8.522256664E-1,6.424490204E0,5.325924683E0,-6.699318695E0,1.070142136E1
8.622426665E-1,6.546187134E0,5.402116241E0,-6.953939209E0,1.097236057E1
8.722596667E-1,6.694378967E0,5.395979004E0,-6.146667938E0,1.056942884E1
8.822756666E-1,6.799759827E0,5.346432037E0,-5.623655548E0,1.031729475E1
8.922926662E-1,6.761888580E0,5.281766510E0,-5.615871735E0,1.025466772E1
9.023096664E-1,6.539451141E0,5.280718689E0,-5.346731415E0,9.961824528E0
9.123266665E-1,6.489904175E0,5.442831573E0,-5.807772675E0,1.027002898E1
9.223426664E-1,6.868017883E0,5.717660065E0,-6.150110779E0,1.084827953E1
9.323596666E-1,7.403304749E0,5.979765015E0,-6.848857727E0,1.172490354E1
9.423766662E-1,7.381749573E0,5.935457153E0,-6.503076782E0,1.148955552E1
9.523936664E-1,6.885232086E0,5.441334686E0,-4.931494904E0,1.006648827E1
